contract_name,contract_family,proxy_type,source_path,compiler_version,source_sha256,LOC,number_of_functions,number_of_storage_variables,number_of_branches,external_call_count
TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,0.8.30,0c69dac2299c07b0f544b81aff0d544218774d38d5073b7ae2812ad08594b7a1,66,8,8,6,1
TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,0.8.30,d991c805376f65eaa139d9038d4a858971c06dd67a9dd8a333c46cd765f72796,62,7,8,6,1
VaultGuard,vault,transparent,dataset/originals/vault/VaultGuard.sol,0.8.30,f03fb90dd67199c88af59d0dc202a1a4695084ba9dbd6e3b68780420452d7021,66,8,8,6,1
YieldVault,vault,uups,dataset/originals/vault/YieldVault.sol,0.8.30,1d3ec80c6b2fe86f1abbe5d35d9fccbb055b91a9e66e29ac4f4cf3701f616f13,62,7,8,6,1
StakePool,staking,transparent,dataset/originals/staking/StakePool.sol,0.8.30,2d99fc2699af30f20a76ebd737a6842ec0504cdd582a3ab8acb35b7d56ac2325,66,8,8,6,1
DelegatedStake,staking,uups,dataset/originals/staking/DelegatedStake.sol,0.8.30,c13cee5590d85c6be3e4995fe390428d70afcfb54d0451676bc6f85de772a468,62,7,8,6,1
BallotBox,voting,transparent,dataset/originals/voting/BallotBox.sol,0.8.30,33c3e454d925fe12be7c889b8eaab4e4d9dc8a53e0d9a0555d95b267cabdf545,66,8,8,6,1
GovernanceVote,voting,uups,dataset/originals/voting/GovernanceVote.sol,0.8.30,e3f501a8e44f09ba2b081ba650c10af9e63a584795547e64ff0b1385fb6ba330,62,7,8,6,1
AssetRegistry,registry,transparent,dataset/originals/registry/AssetRegistry.sol,0.8.30,0bef0f1fcd1758ce065cebf268bf04e3c4a31f15089e1990d74156e157eb5423,66,8,8,6,1
ClaimRegistry,registry,uups,dataset/originals/registry/ClaimRegistry.sol,0.8.30,2fe17531be456b3b5f474a39fd28d8e9e9aacb8646cf8082c017bef8ec0b5708,62,7,8,6,1
RoleManager,access_control,transparent,dataset/originals/access_control/RoleManager.sol,0.8.30,682fca47a3c678f160f5e0c47ccdec1cc601cd950f2fb84219fe5fd58b5affc4,66,8,8,6,1
PermissionBook,access_control,uups,dataset/originals/access_control/PermissionBook.sol,0.8.30,9d8ab5a76966a4061a3777c4a234a245537a1a57f6d2aea9fb81e1a030eb252b,62,7,8,6,1
EscrowDesk,escrow,transparent,dataset/originals/escrow/EscrowDesk.sol,0.8.30,e4d12bdaf20d6657745af42da4b1839c9a51bafc8a38ff48f25811df02db8f08,66,8,8,6,1
MilestoneEscrow,escrow,uups,dataset/originals/escrow/MilestoneEscrow.sol,0.8.30,720955f5636830ab2800fe6975f37bd70c07a71e7d782eb0e6e681af8039100d,62,7,8,6,1
CrowdFund,crowdfunding,transparent,dataset/originals/crowdfunding/CrowdFund.sol,0.8.30,04882f5f10c3a0249d4dc57e6a232eb39e7ca4905216ff962cbd1f2aa1e76243,66,8,8,6,1
CampaignVault,crowdfunding,uups,dataset/originals/crowdfunding/CampaignVault.sol,0.8.30,ebe2c03a04d8bba5399fef0e46f0d8b839ba1834c253244399dfe71d58a39b04,62,7,8,6,1
MarketHub,marketplace,transparent,dataset/originals/marketplace/MarketHub.sol,0.8.30,91709b54c9025c609be6768c1688d0b95202a98f3226cffd0a3f619b911d7d6a,66,8,8,6,1
ListingMarket,marketplace,uups,dataset/originals/marketplace/ListingMarket.sol,0.8.30,9afc254fbcdd0ed6d9e7fc29beea098a8523586463417bb62924913c2e982978,62,7,8,6,1
RewardPool,reward_distribution,transparent,dataset/originals/reward_distribution/RewardPool.sol,0.8.30,04102b868bc462d5fbbbf14db453ed5d1483938bf02f8cb41d302a5a77437fac,66,8,8,6,1
IncentiveVault,reward_distribution,uups,dataset/originals/reward_distribution/IncentiveVault.sol,0.8.30,ec36bcb9d99c0099ef96dd0ec24ed9b35b9334edb6ae46d17fdaf8eee93d87b8,62,7,8,6,1
