pair_id,contract_name,contract_family,proxy_type,v1_path,v2_path,expected_verdict,safety_category,mutation_operator,changed_function,changed_variable,affected_slot,expected_behavior_difference,compiler_version,LOC,number_of_functions,number_of_storage_variables,number_of_branches,external_call_count
tokenledger_safe_01_append_state_variable,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/safe/tokenledger_safe_01_append_state_variable/V2.sol,Safe,safe,append_state_variable,,releaseTag,,new terminal slot,0.8.30,66,8,7,6,1
tokenledger_safe_02_add_function,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/safe/tokenledger_safe_02_add_function/V2.sol,Safe,safe,add_function,implementationVersion,,,new selector only,0.8.30,66,8,7,6,1
tokenledger_safe_03_add_event,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/safe/tokenledger_safe_03_add_event/V2.sol,Safe,safe,add_event,,,,new event declaration only,0.8.30,66,8,7,6,1
tokenledger_unsafe_storage_01_reorder_state_variables,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/unsafe_storage/tokenledger_unsafe_storage_01_reorder_state_variables/V2.sol,Unsafe,storage,reorder_state_variables,,"owner,total",1;2,slot/type interpretation changes,0.8.30,66,8,7,6,1
tokenledger_unsafe_storage_02_insert_state_variable,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/unsafe_storage/tokenledger_unsafe_storage_02_insert_state_variable/V2.sol,Unsafe,storage,insert_state_variable,,total,2;3;4;5,all following roots shift,0.8.30,66,8,7,6,1
tokenledger_unsafe_storage_03_change_storage_type,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/unsafe_storage/tokenledger_unsafe_storage_03_change_storage_type/V2.sol,Unsafe,storage,change_storage_type,,inheritedEpoch,0,semantic type changes at equal width,0.8.30,66,8,7,6,1
tokenledger_unsafe_behavior_01_arithmetic_operator_change,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/unsafe_behavior/tokenledger_unsafe_behavior_01_arithmetic_operator_change/V2.sol,Unsafe,behavior,arithmetic_operator_change,mintCredit,total,,post-state and return differ,0.8.30,66,8,7,6,1
tokenledger_unsafe_behavior_02_comparison_operator_change,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/unsafe_behavior/tokenledger_unsafe_behavior_02_comparison_operator_change/V2.sol,Unsafe,behavior,comparison_operator_change,mintCredit,,,status differs at amount = limit,0.8.30,66,8,7,6,1
tokenledger_unsafe_behavior_03_omit_state_update,TokenLedger,token,transparent,dataset/originals/token/TokenLedger.sol,dataset/pairs/unsafe_behavior/tokenledger_unsafe_behavior_03_omit_state_update/V2.sol,Unsafe,behavior,omit_state_update,mintCredit,total,,total is not updated,0.8.30,66,8,7,6,1
tokenrewards_safe_01_rename_local_variable,TokenRewards,token,uups,dataset/originals/token/TokenRewards.sol,dataset/pairs/safe/tokenrewards_safe_01_rename_local_variable/V2.sol,Safe,safe,rename_local_variable,awardTokens,,,alpha-renaming,0.8.30,62,7,7,6,1
