pair_id,verdict,runtime_ms,dimensions,valid,observations,error
tokenledger_unsafe_behavior_01_arithmetic_operator_change,Validated,839.3677,"{'status_or_return': True, 'transaction_status': False, 'events': True, 'storage': True, 'external_trace': False}",True,{},
tokenledger_unsafe_behavior_02_comparison_operator_change,Validated,808.8527,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
tokenledger_unsafe_behavior_03_omit_state_update,Validated,808.3232,"{'status_or_return': True, 'transaction_status': False, 'events': True, 'storage': True, 'external_trace': False}",True,{},
tokenrewards_unsafe_behavior_01_wrong_state_variable,Validated,808.8376,"{'status_or_return': True, 'transaction_status': False, 'events': True, 'storage': True, 'external_trace': False}",True,{},
tokenrewards_unsafe_behavior_02_return_value_change,Validated,845.1815,"{'status_or_return': True, 'transaction_status': False, 'events': False, 'storage': False, 'external_trace': False}",True,{},
tokenrewards_unsafe_behavior_03_omit_event,Validated,812.6977,"{'status_or_return': False, 'transaction_status': False, 'events': True, 'storage': False, 'external_trace': False}",True,{},
vaultguard_unsafe_behavior_01_remove_require,Validated,813.681,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
vaultguard_unsafe_behavior_02_change_revert_condition,Validated,812.0285,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
vaultguard_unsafe_behavior_03_remove_access_modifier,Validated,903.121,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': True}",True,{},
yieldvault_unsafe_behavior_01_change_call_recipient,Validated,869.8126,"{'status_or_return': False, 'transaction_status': False, 'events': False, 'storage': False, 'external_trace': True}",True,{},
yieldvault_unsafe_behavior_02_external_call_order_change,Validated,870.7487,"{'status_or_return': False, 'transaction_status': False, 'events': False, 'storage': False, 'external_trace': True}",True,{},
yieldvault_unsafe_behavior_03_success_to_revert,Validated,808.849,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
delegatedstake_unsafe_behavior_02_arithmetic_operator_change,Validated,841.7599,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
delegatedstake_unsafe_behavior_03_comparison_operator_change,Validated,811.4028,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
