run_id,timestamp,variant,request_id,seed,config_hash,pair_id,contract_name,contract_family,proxy_type,expected_verdict,safety_category,mutation_operator,verdict,reason,artifact_extraction_ms,storage_analysis_ms,function_mapping_ms,product_program_ms,solver_ms,counterexample_replay_ms,total_runtime_ms,peak_memory_mb,changed_preserved_functions,mapped_functions,solver_variables,solver_constraints,symbolic_path_count,layout_issue_count,layout_issues,behavior_results,counterexample,counterexample_valid,LOC,number_of_functions,number_of_storage_variables,number_of_branches,external_call_count
1,2026-07-28T06:41:42.980485+00:00,Full,0,26072026,8c20621d6aa3001e,tokenledger_safe_01_append_state_variable,TokenLedger,token,transparent,Safe,safe,append_state_variable,Safe,no changed preserved function,0.7485,0.1189,0.6155,0.0,0.0,0.001,1.5272,91.7578125,0,0,0,0,0,0,[],[],,,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,1,26072026,8c20621d6aa3001e,tokenledger_safe_02_add_function,TokenLedger,token,transparent,Safe,safe,add_function,Safe,no changed preserved function,0.7352,0.275,0.5308,0.0,0.0,0.0016,1.6135,91.7578125,0,0,0,0,0,0,[],[],,,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,2,26072026,8c20621d6aa3001e,tokenledger_safe_03_add_event,TokenLedger,token,transparent,Safe,safe,add_event,Safe,no changed preserved function,0.6306,0.1142,0.4755,0.0,0.0,0.0011,1.3792,91.7578125,0,0,0,0,0,0,[],[],,,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,3,26072026,8c20621d6aa3001e,tokenledger_unsafe_storage_01_reorder_state_variables,TokenLedger,token,transparent,Unsafe,storage,reorder_state_variables,Unsafe,storage compatibility violation,0.5366,0.1218,0.6323,0.0,0.0,0.0012,1.3262,91.7578125,0,0,0,0,0,2,"[{""detail"": ""slot or packed offset changed"", ""kind"": ""location"", ""new_location"": ""2:0:address:20"", ""old_location"": ""1:0:address:20"", ""variable"": ""owner""}, {""detail"": ""slot or packed offset changed"", ""kind"": ""location"", ""new_location"": ""1:0:uint256:32"", ""old_location"": ""2:0:uint256:32"", ""variable"": ""total""}]",[],,,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,4,26072026,8c20621d6aa3001e,tokenledger_unsafe_storage_02_insert_state_variable,TokenLedger,token,transparent,Unsafe,storage,insert_state_variable,Unsafe,storage compatibility violation,0.561,0.1238,0.3455,0.0,0.0,0.0009,1.0581,91.7578125,0,0,0,0,0,5,"[{""detail"": ""slot or packed offset changed"", ""kind"": ""location"", ""new_location"": ""3:0:uint256:32"", ""old_location"": ""2:0:uint256:32"", ""variable"": ""total""}, {""detail"": ""slot or packed offset changed"", ""kind"": ""location"", ""new_location"": ""4:0:uint128:16"", ""old_location"": ""3:0:uint128:16"", ""variable"": ""limit""}, {""detail"": ""slot or packed offset changed"", ""kind"": ""location"", ""new_location"": ""4:16:bool:1"", ""old_location"": ""3:16:bool:1"", ""variable"": ""active""}, {""detail"": ""slot or packed offset changed"", ""kind"": ""location"", ""new_location"": ""5:0:mapping(address => uint256):32"", ""old_location"": ""4:0:mapping(address => uint256):32"", ""variable"": ""credits""}, {""detail"": ""slot or packed offset changed"", ""kind"": ""location"", ""new_location"": ""6:0:uint256[]:32"", ""old_location"": ""5:0:uint256[]:32"", ""variable"": ""history""}]",[],,,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,5,26072026,8c20621d6aa3001e,tokenledger_unsafe_storage_03_change_storage_type,TokenLedger,token,transparent,Unsafe,storage,change_storage_type,Unsafe,storage compatibility violation,0.5446,0.1179,0.3472,0.0,0.0,0.0008,1.0422,91.7578125,0,0,0,0,0,1,"[{""detail"": ""Solidity type or storage width changed"", ""kind"": ""type"", ""new_location"": ""0:0:bytes8:8"", ""old_location"": ""0:0:uint64:8"", ""variable"": ""inheritedEpoch""}]",[],,,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,6,26072026,8c20621d6aa3001e,tokenledger_unsafe_behavior_01_arithmetic_operator_change,TokenLedger,token,transparent,Unsafe,behavior,arithmetic_operator_change,Unsafe,SMT model satisfies the negated relational obligation,0.5873,0.1107,0.3405,21.619,21.619,0.2428,22.9713,93.421875,1,1,8,8,4,0,[],"[{""counterexample"": {""active"": true, ""amount"": 64, ""balance"": 0, ""call_ok"": true, ""limit"": 1000000, ""owner_zero"": false, ""sender_owner"": false, ""total"": 1000000, ""v1_success"": true, ""v2_success"": true}, ""function"": ""mintCredit"", ""reason"": ""SMT model satisfies the negated relational obligation"", ""runtime_ms"": 20.9394, ""solver_constraints"": 8, ""solver_variables"": 8, ""summary_v1"": ""9f77665095d000566f645f93bb8bf41be4ffa5c83e51c268c5c6803e3e45f219"", ""summary_v2"": ""2d7f160a6593b02d7ef0fedb5f877b3ae9f9473c994e187f0e5f3df4fbeecdcc"", ""symbolic_paths"": 4, ""verdict"": ""Unsafe""}]","{""active"": true, ""amount"": 64, ""balance"": 0, ""call_ok"": true, ""limit"": 1000000, ""owner_zero"": false, ""sender_owner"": false, ""total"": 1000000, ""v1_success"": true, ""v2_success"": true}",True,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,7,26072026,8c20621d6aa3001e,tokenledger_unsafe_behavior_02_comparison_operator_change,TokenLedger,token,transparent,Unsafe,behavior,comparison_operator_change,Unsafe,SMT model satisfies the negated relational obligation,0.7027,0.162,0.4958,22.324,22.324,0.2924,24.0606,93.61328125,1,1,8,8,4,0,[],"[{""counterexample"": {""active"": true, ""amount"": 664840, ""balance"": 0, ""call_ok"": true, ""limit"": 664840, ""owner_zero"": false, ""sender_owner"": false, ""total"": 191, ""v1_success"": true, ""v2_success"": false}, ""function"": ""mintCredit"", ""reason"": ""SMT model satisfies the negated relational obligation"", ""runtime_ms"": 21.3452, ""solver_constraints"": 8, ""solver_variables"": 8, ""summary_v1"": ""9f77665095d000566f645f93bb8bf41be4ffa5c83e51c268c5c6803e3e45f219"", ""summary_v2"": ""12ab34a61e2a974daa13ae764c19d0e4c87df3d65bd6d88adaf83d3bd7fc7c5c"", ""symbolic_paths"": 4, ""verdict"": ""Unsafe""}]","{""active"": true, ""amount"": 664840, ""balance"": 0, ""call_ok"": true, ""limit"": 664840, ""owner_zero"": false, ""sender_owner"": false, ""total"": 191, ""v1_success"": true, ""v2_success"": false}",True,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,8,26072026,8c20621d6aa3001e,tokenledger_unsafe_behavior_03_omit_state_update,TokenLedger,token,transparent,Unsafe,behavior,omit_state_update,Unsafe,SMT model satisfies the negated relational obligation,0.7411,0.122,0.3622,18.0459,18.0459,0.303,19.6539,91.890625,1,1,8,8,4,0,[],"[{""counterexample"": {""active"": true, ""amount"": 44, ""balance"": 20480, ""call_ok"": true, ""limit"": 999985, ""owner_zero"": false, ""sender_owner"": false, ""total"": 65, ""v1_success"": true, ""v2_success"": true}, ""function"": ""mintCredit"", ""reason"": ""SMT model satisfies the negated relational obligation"", ""runtime_ms"": 16.9472, ""solver_constraints"": 8, ""solver_variables"": 8, ""summary_v1"": ""9f77665095d000566f645f93bb8bf41be4ffa5c83e51c268c5c6803e3e45f219"", ""summary_v2"": ""738ede58a632ff7a0cab7a322239af8a50524130d3c8d40e82b8b043ec5e6f18"", ""symbolic_paths"": 4, ""verdict"": ""Unsafe""}]","{""active"": true, ""amount"": 44, ""balance"": 20480, ""call_ok"": true, ""limit"": 999985, ""owner_zero"": false, ""sender_owner"": false, ""total"": 65, ""v1_success"": true, ""v2_success"": true}",True,66,8,8,6,1
1,2026-07-28T06:41:42.980485+00:00,Full,9,26072026,8c20621d6aa3001e,tokenrewards_safe_01_rename_internal_state_variable,TokenRewards,token,uups,Safe,safe,rename_internal_state_variable,Unsafe,storage compatibility violation,0.8657,0.1459,0.4329,0.0,0.0,0.0013,1.4873,91.890625,0,0,0,0,0,1,"[{""detail"": ""persisted variable disappeared"", ""kind"": ""deleted"", ""new_location"": ""-"", ""old_location"": ""0:0:uint64:8"", ""variable"": ""inheritedEpoch""}]",[],,,62,7,8,6,1
