budget,seed_id,seed,pair_id,expected_verdict,safety_category,mutation_operator,verdict,runtime_ms,counterexample
32,1,26172026,tokenledger_safe_01_append_state_variable,Safe,safe,append_state_variable,Safe,0.0,
32,1,26172027,tokenledger_safe_02_add_function,Safe,safe,add_function,Safe,0.0,
32,1,26172028,tokenledger_safe_03_add_event,Safe,safe,add_event,Safe,0.0,
32,1,26172029,tokenledger_unsafe_behavior_01_arithmetic_operator_change,Unsafe,behavior,arithmetic_operator_change,Unsafe,1.4966,"{""active"": true, ""amount"": 21410, ""balance"": 824532, ""call_ok"": true, ""limit"": 46830, ""owner_zero"": false, ""sender_owner"": true, ""total"": 91335}"
32,1,26172030,tokenledger_unsafe_behavior_02_comparison_operator_change,Unsafe,behavior,comparison_operator_change,Safe,0.5458,
32,1,26172031,tokenledger_unsafe_behavior_03_omit_state_update,Unsafe,behavior,omit_state_update,Unsafe,0.3354,"{""active"": true, ""amount"": 1426, ""balance"": 638271, ""call_ok"": true, ""limit"": 10552, ""owner_zero"": false, ""sender_owner"": true, ""total"": 913286}"
32,1,26172032,tokenrewards_safe_01_rename_internal_state_variable,Safe,safe,rename_internal_state_variable,Safe,0.0,
32,1,26172033,tokenrewards_safe_02_rename_local_variable,Safe,safe,rename_local_variable,Safe,0.5493,
32,1,26172034,tokenrewards_safe_03_equivalent_expression_refactor,Safe,safe,equivalent_expression_refactor,Safe,0.4578,
32,1,26172035,tokenrewards_unsafe_behavior_01_wrong_state_variable,Unsafe,behavior,wrong_state_variable,Unsafe,0.3959,"{""active"": true, ""amount"": 16322, ""balance"": 585231, ""call_ok"": true, ""limit"": 54352, ""owner_zero"": true, ""sender_owner"": false, ""total"": 488177}"
32,1,26172036,tokenrewards_unsafe_behavior_02_return_value_change,Unsafe,behavior,return_value_change,Unsafe,0.3263,"{""active"": true, ""amount"": 34037, ""balance"": 824284, ""call_ok"": false, ""limit"": 54415, ""owner_zero"": false, ""sender_owner"": false, ""total"": 653613}"
32,1,26172037,tokenrewards_unsafe_behavior_03_omit_event,Unsafe,behavior,omit_event,Unsafe,0.2873,"{""active"": true, ""amount"": 14640, ""balance"": 112768, ""call_ok"": false, ""limit"": 20500, ""owner_zero"": false, ""sender_owner"": false, ""total"": 744486}"
32,1,26172038,vaultguard_safe_01_extract_internal_function,Safe,safe,extract_internal_function,Safe,0.512,
32,1,26172039,vaultguard_safe_02_commute_independent_writes,Safe,safe,commute_independent_writes,Safe,0.5071,
32,1,26172040,vaultguard_safe_03_valid_domain_guard,Safe,safe,valid_domain_guard,Safe,0.8142,
32,1,26172041,vaultguard_unsafe_behavior_01_remove_require,Unsafe,behavior,remove_require,Unsafe,0.5054,"{""active"": false, ""amount"": 31310, ""balance"": 284089, ""call_ok"": false, ""limit"": 37585, ""owner_zero"": true, ""sender_owner"": true, ""total"": 498143}"
32,1,26172042,vaultguard_unsafe_behavior_02_change_revert_condition,Unsafe,behavior,change_revert_condition,Unsafe,0.545,"{""active"": true, ""amount"": 30642, ""balance"": 412502, ""call_ok"": true, ""limit"": 9939, ""owner_zero"": false, ""sender_owner"": true, ""total"": 890286}"
32,1,26172043,vaultguard_unsafe_behavior_03_remove_access_modifier,Unsafe,behavior,remove_access_modifier,Unsafe,0.4035,"{""active"": true, ""amount"": 40098, ""balance"": 93352, ""call_ok"": true, ""limit"": 5107, ""owner_zero"": false, ""sender_owner"": false, ""total"": 246202}"
32,1,26172044,yieldvault_safe_01_consume_storage_gap,Safe,safe,consume_storage_gap,Safe,0.0,
32,1,26172045,yieldvault_safe_02_append_state_variable,Safe,safe,append_state_variable,Safe,0.0,
32,1,26172046,yieldvault_safe_03_add_function,Safe,safe,add_function,Safe,0.0,
