pair_id,verdict,runtime_ms,issue_count,error,expected_verdict,safety_category,mutation_operator,method
tokenledger_safe_01_append_state_variable,Safe,2.5895,0,,Safe,safe,append_state_variable,OpenZeppelin
tokenledger_safe_02_add_function,Safe,0.3589,0,,Safe,safe,add_function,OpenZeppelin
tokenledger_safe_03_add_event,Safe,0.19590000000000002,0,,Safe,safe,add_event,OpenZeppelin
tokenledger_unsafe_storage_01_reorder_state_variables,Unsafe,0.654,3,,Unsafe,storage,reorder_state_variables,OpenZeppelin
tokenledger_unsafe_storage_02_insert_state_variable,Unsafe,0.334,6,,Unsafe,storage,insert_state_variable,OpenZeppelin
tokenledger_unsafe_storage_03_change_storage_type,Unsafe,0.46090000000000003,1,,Unsafe,storage,change_storage_type,OpenZeppelin
tokenrewards_safe_01_rename_internal_state_variable,Unsafe,0.2878,1,,Safe,safe,rename_internal_state_variable,OpenZeppelin
tokenrewards_safe_02_rename_local_variable,Safe,0.18050000000000002,0,,Safe,safe,rename_local_variable,OpenZeppelin
tokenrewards_safe_03_equivalent_expression_refactor,Safe,0.2379,0,,Safe,safe,equivalent_expression_refactor,OpenZeppelin
tokenrewards_unsafe_storage_01_change_packed_width,Unsafe,0.3014,8,,Unsafe,storage,change_packed_width,OpenZeppelin
tokenrewards_unsafe_storage_02_change_inheritance_order,Unsafe,0.32530000000000003,3,,Unsafe,storage,change_inheritance_order,OpenZeppelin
tokenrewards_unsafe_storage_03_move_mapping_root,Unsafe,0.3655,4,,Unsafe,storage,move_mapping_root,OpenZeppelin
vaultguard_safe_01_extract_internal_function,Safe,0.20750000000000002,0,,Safe,safe,extract_internal_function,OpenZeppelin
vaultguard_safe_02_commute_independent_writes,Safe,0.1834,0,,Safe,safe,commute_independent_writes,OpenZeppelin
vaultguard_safe_03_valid_domain_guard,Safe,0.196,0,,Safe,safe,valid_domain_guard,OpenZeppelin
vaultguard_unsafe_storage_01_move_dynamic_array_root,Unsafe,0.2972,5,,Unsafe,storage,move_dynamic_array_root,OpenZeppelin
vaultguard_unsafe_storage_02_inline_assembly_legacy_slot_write,Safe,0.2303,0,,Unsafe,storage,inline_assembly_legacy_slot_write,OpenZeppelin
vaultguard_unsafe_storage_03_namespace_collision,Safe,0.219,0,,Unsafe,storage,namespace_collision,OpenZeppelin
yieldvault_safe_01_consume_storage_gap,Safe,0.34240000000000004,0,,Safe,safe,consume_storage_gap,OpenZeppelin
yieldvault_safe_02_append_state_variable,Safe,0.34090000000000004,0,,Safe,safe,append_state_variable,OpenZeppelin
yieldvault_safe_03_add_function,Safe,0.2843,0,,Safe,safe,add_function,OpenZeppelin
yieldvault_unsafe_storage_01_computed_assembly_slot_write,Safe,0.3432,0,,Unsafe,storage,computed_assembly_slot_write,OpenZeppelin
yieldvault_unsafe_storage_02_reorder_state_variables,Unsafe,0.7766000000000001,3,,Unsafe,storage,reorder_state_variables,OpenZeppelin
yieldvault_unsafe_storage_03_insert_state_variable,Unsafe,0.3648,6,,Unsafe,storage,insert_state_variable,OpenZeppelin
stakepool_safe_01_rename_internal_state_variable,Unsafe,0.2989,1,,Safe,safe,rename_internal_state_variable,OpenZeppelin
stakepool_safe_02_rename_local_variable,Safe,0.2082,0,,Safe,safe,rename_local_variable,OpenZeppelin
stakepool_safe_03_equivalent_expression_refactor,Safe,0.1563,0,,Safe,safe,equivalent_expression_refactor,OpenZeppelin
stakepool_unsafe_storage_01_change_storage_type,Unsafe,0.23270000000000002,1,,Unsafe,storage,change_storage_type,OpenZeppelin
stakepool_unsafe_storage_02_change_packed_width,Unsafe,0.2586,8,,Unsafe,storage,change_packed_width,OpenZeppelin
stakepool_unsafe_storage_03_change_inheritance_order,Unsafe,0.2761,3,,Unsafe,storage,change_inheritance_order,OpenZeppelin
delegatedstake_safe_01_equivalent_expression_refactor,Safe,0.2867,0,,Safe,safe,equivalent_expression_refactor,OpenZeppelin
delegatedstake_safe_02_extract_internal_function,Safe,0.15610000000000002,0,,Safe,safe,extract_internal_function,OpenZeppelin
delegatedstake_safe_03_commute_independent_writes,Safe,0.1434,0,,Safe,safe,commute_independent_writes,OpenZeppelin
delegatedstake_unsafe_storage_01_move_mapping_root,Unsafe,0.2233,4,,Unsafe,storage,move_mapping_root,OpenZeppelin
delegatedstake_unsafe_storage_02_expand_storage_gap,Unsafe,0.2059,1,,Unsafe,storage,expand_storage_gap,OpenZeppelin
delegatedstake_unsafe_storage_03_inline_assembly_legacy_slot_write,Safe,0.16620000000000001,0,,Unsafe,storage,inline_assembly_legacy_slot_write,OpenZeppelin
ballotbox_safe_01_append_state_variable,Safe,0.17850000000000002,0,,Safe,safe,append_state_variable,OpenZeppelin
ballotbox_safe_02_add_function,Safe,0.1655,0,,Safe,safe,add_function,OpenZeppelin
ballotbox_safe_03_add_event,Safe,0.1545,0,,Safe,safe,add_event,OpenZeppelin
ballotbox_unsafe_storage_01_namespace_collision,Safe,0.2401,0,,Unsafe,storage,namespace_collision,OpenZeppelin
ballotbox_unsafe_storage_02_computed_assembly_slot_write,Safe,0.1721,0,,Unsafe,storage,computed_assembly_slot_write,OpenZeppelin
