run_id,changed_preserved_functions,verification_time_ms,symbolic_path_count,solver_constraints,all_regressions_detected
1,1,23.6292,4,8,True
1,2,33.0517,12,16,True
1,3,46.1157,20,24,True
1,4,59.345,28,32,True
1,5,75.3849,36,40,True
1,6,77.1177,37,40,False
1,7,81.4232,38,40,False
1,8,80.7471,39,40,False
1,9,79.0812,39,40,False
1,10,99.0604,43,48,False
2,1,1.2994,1,0,False
2,2,2.148,1,0,False
2,3,20.3268,5,8,False
2,4,40.1782,9,16,False
2,5,53.6347,13,24,False
2,6,71.4278,17,32,False
2,7,84.2173,21,40,False
2,8,102.9652,25,48,False
2,9,120.2425,29,56,False
2,10,133.9214,33,64,False
3,1,17.5871,4,8,True
3,2,31.2718,8,16,True
3,3,52.6815,12,24,True
3,4,65.1156,20,32,True
3,5,75.5237,28,40,True
3,6,91.0856,36,48,True
3,7,104.9833,44,56,True
3,8,109.6792,45,56,False
3,9,119.2169,46,56,False
3,10,113.4864,47,56,False
4,1,1.0088,1,0,False
4,2,1.9948,2,0,False
4,3,3.2637,3,0,False
4,4,4.1881,3,0,False
4,5,22.8906,7,8,False
4,6,42.1836,11,16,False
4,7,58.6061,15,24,False
4,8,71.382,19,32,False
4,9,89.9107,23,40,False
4,10,101.5194,27,48,False
5,1,14.8057,4,8,True
5,2,30.4978,8,16,True
5,3,57.9782,12,24,True
5,4,77.168,16,32,True
5,5,100.717,20,40,True
5,6,117.6299,28,48,True
5,7,132.619,36,56,True
5,8,156.6309,44,64,True
5,9,165.5959,52,72,True
5,10,172.4545,53,72,False
6,1,16.2229,8,8,True
6,2,38.6877,16,16,True
6,3,37.9177,17,16,False
6,4,38.2793,18,16,False
6,5,38.7879,19,16,False
6,6,43.4226,19,16,False
6,7,67.6506,23,24,False
6,8,89.7488,27,32,False
6,9,113.0628,31,40,False
6,10,153.6409,35,48,False
7,1,25.0402,4,8,True
7,2,47.3142,8,16,True
7,3,68.3387,12,24,True
7,4,88.0085,16,32,True
7,5,98.1598,20,40,True
7,6,115.2411,24,48,True
7,7,137.1493,28,56,True
7,8,158.1574,36,64,True
7,9,179.8526,44,72,True
7,10,218.4686,52,80,True
8,1,19.9506,8,8,True
8,2,37.6228,16,16,True
8,3,56.6415,24,24,True
8,4,84.6384,32,32,True
8,5,106.9826,36,40,True
8,6,125.3567,40,48,True
8,7,148.4023,44,56,True
8,8,174.6654,48,64,True
8,9,207.7352,52,72,True
8,10,199.002,56,80,True
9,1,19.4346,4,8,True
9,2,39.7927,8,16,True
9,3,61.6133,12,24,True
9,4,76.6434,16,32,True
9,5,98.1221,20,40,True
9,6,116.4052,28,48,True
9,7,137.0255,36,56,True
9,8,157.8377,44,64,True
9,9,176.1196,52,72,True
9,10,174.2863,53,72,False
10,1,16.5293,8,8,True
10,2,35.7525,16,16,True
10,3,37.7858,17,16,False
10,4,37.7032,18,16,False
10,5,42.3738,19,16,False
10,6,43.3644,19,16,False
10,7,68.9855,23,24,False
10,8,101.6508,27,32,False
10,9,110.482,31,40,False
10,10,132.5302,35,48,False
11,1,22.6731,4,8,True
11,2,41.7481,8,16,True
11,3,61.4172,12,24,True
11,4,80.0925,16,32,True
11,5,99.1826,20,40,True
11,6,121.3144,24,48,True
11,7,140.766,28,56,True
11,8,161.5759,36,64,True
11,9,187.5501,44,72,True
11,10,221.9385,52,80,True
12,1,21.0467,8,8,True
12,2,39.8002,16,16,True
12,3,56.0397,24,24,True
12,4,77.8647,32,32,True
12,5,76.7554,33,32,False
12,6,85.3061,34,32,False
12,7,83.6301,35,32,False
12,8,83.124,35,32,False
12,9,109.2681,39,40,False
12,10,136.1798,43,48,False
13,1,1.7342,0,0,False
13,2,27.4863,4,8,False
13,3,51.1584,8,16,False
13,4,70.3367,12,24,False
13,5,98.5261,16,32,False
13,6,113.1748,20,40,False
13,7,134.5647,24,48,False
13,8,150.8706,28,56,False
13,9,181.4887,32,64,False
13,10,209.2598,40,72,False
14,1,21.4643,4,8,True
14,2,51.9667,8,16,True
14,3,64.6595,16,24,True
14,4,95.0177,24,32,True
14,5,122.0916,32,40,True
14,6,145.0977,40,48,True
14,7,150.122,41,48,False
14,8,146.1585,42,48,False
14,9,138.5388,43,48,False
14,10,134.1207,43,48,False
15,1,1.6156,1,0,False
15,2,2.9788,2,0,False
15,3,5.3342,2,0,False
15,4,35.8871,6,8,False
15,5,60.1154,10,16,False
15,6,79.1797,14,24,False
15,7,97.9515,18,32,False
15,8,116.1766,22,40,False
15,9,134.7038,26,48,False
15,10,157.2864,30,56,False
16,1,21.6805,4,8,True
16,2,42.5602,8,16,True
16,3,62.0497,12,24,True
16,4,84.9092,16,32,True
16,5,107.3061,24,40,True
16,6,144.206,32,48,True
16,7,150.8402,40,56,True
16,8,161.1099,48,64,True
16,9,192.199,52,72,True
16,10,215.97,56,80,True
17,1,21.5933,8,8,True
17,2,45.6545,12,16,True
17,3,69.9304,16,24,True
17,4,92.5201,20,32,True
17,5,115.3459,24,40,True
17,6,158.0554,28,48,True
17,7,147.1413,32,56,True
17,8,167.5132,36,64,True
17,9,188.8383,40,72,True
17,10,209.4434,48,80,True
18,1,18.7895,4,8,True
18,2,41.9195,8,16,True
18,3,62.8932,16,24,True
18,4,77.8063,24,32,True
18,5,98.5986,32,40,True
18,6,114.1256,40,48,True
18,7,116.0085,41,48,False
18,8,117.2776,42,48,False
18,9,118.493,43,48,False
