scope,ground_truth,predicted_verdict,count,ground_truth_total
primary,Safe,Safe,24,60
primary,Safe,Unsafe,7,60
primary,Safe,Unknown,29,60
primary,Safe,Timeout,0,60
primary,Unsafe,Safe,0,120
primary,Unsafe,Unsafe,102,120
primary,Unsafe,Unknown,18,120
primary,Unsafe,Timeout,0,120
mixed,Safe,Safe,0,0
mixed,Safe,Unsafe,0,0
mixed,Safe,Unknown,0,0
mixed,Safe,Timeout,0,0
mixed,Unsafe,Safe,0,30
mixed,Unsafe,Unsafe,26,30
mixed,Unsafe,Unknown,4,30
mixed,Unsafe,Timeout,0,30
all,Safe,Safe,24,60
all,Safe,Unsafe,7,60
all,Safe,Unknown,29,60
all,Safe,Timeout,0,60
all,Unsafe,Safe,0,150
all,Unsafe,Unsafe,128,150
all,Unsafe,Unknown,22,150
all,Unsafe,Timeout,0,150
