contract_name,contract_family,pairs,storage_detected,behavior_detected,unknown,precision,recall,f1,accuracy,coverage,decided_accuracy,tp,tn,fp,fn
AssetRegistry,registry,9,3,3,1,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,6,2,0,0
BallotBox,voting,9,2,3,4,1.0,0.8333333333333334,0.9090909090909091,0.5555555555555556,0.5555555555555556,1.0,5,0,0,1
CampaignVault,crowdfunding,9,3,0,4,1.0,0.5,0.6666666666666666,0.5555555555555556,0.5555555555555556,1.0,3,2,0,3
ClaimRegistry,registry,9,2,1,4,1.0,0.5,0.6666666666666666,0.5555555555555556,0.5555555555555556,1.0,3,2,0,3
CrowdFund,crowdfunding,9,3,2,2,1.0,0.8333333333333334,0.9090909090909091,0.7777777777777778,0.7777777777777778,1.0,5,2,0,1
DelegatedStake,staking,9,3,2,2,1.0,0.8333333333333334,0.9090909090909091,0.7777777777777778,0.7777777777777778,1.0,5,2,0,1
EscrowDesk,escrow,9,3,3,3,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,6,0,0,0
GovernanceVote,voting,9,3,3,2,0.8571428571428571,1.0,0.923076923076923,0.6666666666666666,0.7777777777777778,0.8571428571428571,6,0,1,0
IncentiveVault,reward_distribution,9,2,3,2,1.0,0.8333333333333334,0.9090909090909091,0.7777777777777778,0.7777777777777778,1.0,5,2,0,1
ListingMarket,marketplace,9,3,3,2,0.8571428571428571,1.0,0.923076923076923,0.6666666666666666,0.7777777777777778,0.8571428571428571,6,0,1,0
MarketHub,marketplace,9,2,3,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.8888888888888888,0.875,5,2,1,1
MilestoneEscrow,escrow,9,2,3,4,1.0,0.8333333333333334,0.9090909090909091,0.5555555555555556,0.5555555555555556,1.0,5,0,0,1
PermissionBook,access_control,9,3,3,0,0.8571428571428571,1.0,0.923076923076923,0.8888888888888888,1.0,0.8888888888888888,6,2,1,0
RewardPool,reward_distribution,9,3,3,3,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,6,0,0,0
RoleManager,access_control,9,3,1,2,0.8,0.6666666666666666,0.7272727272727272,0.6666666666666666,0.7777777777777778,0.8571428571428571,4,2,1,2
StakePool,staking,9,3,0,3,0.75,0.5,0.6,0.5555555555555556,0.6666666666666666,0.8333333333333334,3,2,1,3
TokenLedger,token,9,3,3,3,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,6,0,0,0
TokenRewards,token,9,3,3,0,0.8571428571428571,1.0,0.923076923076923,0.8888888888888888,1.0,0.8888888888888888,6,2,1,0
VaultGuard,vault,9,3,3,1,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,6,2,0,0
YieldVault,vault,9,2,3,4,1.0,0.8333333333333334,0.9090909090909091,0.5555555555555556,0.5555555555555556,1.0,5,0,0,1
