scope,safety_category,mutation_operator,cases
primary_operator,behavior,arithmetic_operator_change,4
primary_operator,behavior,change_call_recipient,4
primary_operator,behavior,change_revert_condition,4
primary_operator,behavior,comparison_operator_change,4
primary_operator,behavior,conditional_event,3
primary_operator,behavior,conditional_state_update,3
primary_operator,behavior,external_call_order_change,4
primary_operator,behavior,omit_event,4
primary_operator,behavior,omit_state_update,4
primary_operator,behavior,remove_access_modifier,4
primary_operator,behavior,remove_require,4
primary_operator,behavior,return_value_change,4
primary_operator,behavior,revert_data_change,3
primary_operator,behavior,success_to_revert,4
primary_operator,behavior,unsupported_hash_return,3
primary_operator,behavior,wrong_state_variable,4
primary_operator,safe,add_event,6
primary_operator,safe,add_function,8
primary_operator,safe,append_state_variable,6
primary_operator,safe,commute_independent_writes,7
primary_operator,safe,consume_storage_gap,4
primary_operator,safe,equivalent_expression_refactor,7
primary_operator,safe,extract_internal_function,5
primary_operator,safe,rename_internal_state_variable,7
primary_operator,safe,rename_local_variable,5
primary_operator,safe,valid_domain_guard,5
primary_operator,storage,change_inheritance_order,6
primary_operator,storage,change_packed_width,6
primary_operator,storage,change_storage_type,6
primary_operator,storage,computed_assembly_slot_write,6
primary_operator,storage,expand_storage_gap,2
primary_operator,storage,inline_assembly_legacy_slot_write,6
primary_operator,storage,insert_state_variable,6
primary_operator,storage,move_dynamic_array_root,4
primary_operator,storage,move_mapping_root,6
primary_operator,storage,namespace_collision,6
primary_operator,storage,reorder_state_variables,6
mixed_component,mixed,arithmetic_operator_change,2
mixed_component,mixed,change_call_recipient,2
mixed_component,mixed,change_inheritance_order,2
mixed_component,mixed,change_packed_width,2
mixed_component,mixed,commute_independent_writes,4
mixed_component,mixed,comparison_operator_change,4
mixed_component,mixed,conditional_event,4
mixed_component,mixed,equivalent_expression_refactor,2
mixed_component,mixed,inline_assembly_legacy_slot_write,4
mixed_component,mixed,move_mapping_root,2
mixed_component,mixed,namespace_collision,2
mixed_component,mixed,omit_event,6
mixed_component,mixed,omit_state_update,4
mixed_component,mixed,remove_access_modifier,4
mixed_component,mixed,remove_require,6
mixed_component,mixed,rename_local_variable,4
mixed_component,mixed,reorder_state_variables,4
mixed_component,mixed,return_value_change,2
