safety_category,mutation_operator,cases,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,unknown_rate,timeout_rate,accuracy
behavior,arithmetic_operator_change,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,change_call_recipient,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,change_revert_condition,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,comparison_operator_change,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,external_call_order_change,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,omit_event,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,omit_state_update,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,remove_access_modifier,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,remove_require,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,return_value_change,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,success_to_revert,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
behavior,wrong_state_variable,5,5,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
safe,add_event,7,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
safe,add_function,10,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
safe,append_state_variable,8,0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
safe,consume_storage_gap,4,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
safe,equivalent_expression_refactor,6,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
safe,extract_internal_function,9,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
safe,rename_local_variable,9,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
safe,valid_domain_guard,7,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
storage,change_inheritance_order,7,7,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,change_packed_width,7,7,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,change_storage_type,7,7,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,expand_storage_gap,3,3,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,inline_assembly_legacy_slot_write,6,6,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,insert_state_variable,7,7,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,move_dynamic_array_root,3,3,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,move_mapping_root,7,7,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,namespace_collision,6,6,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
storage,reorder_state_variables,7,7,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
